isin,year,bmg_cons,bmg_se_cons,bmg_yearly,bmg_se_yearly
AIG8111D1036,2015,0.866032302,1.786346674,-0.221370578,0.60031873
AIG8111D1036,2016,0.866032302,1.786346674,0.581063747,0.221748456
AN8068571086,2010,1.552368164,0.301880628,1.184362888,0.228491038
AN8068571086,2011,1.552368164,0.301880628,1.316424251,0.18785277
AN8068571086,2012,1.552368164,0.301880628,0.745080531,0.203138411
AN8068571086,2013,1.552368164,0.301880628,1.056385636,0.192328617
AN8068571086,2014,1.552368164,0.301880628,1.680735707,0.186081126
AN8068571086,2015,1.552368164,0.301880628,0.871778548,0.172397852
AN8068571086,2016,1.552368164,0.301880628,1.424284577,0.174951345
ANN6748L1027,2010,0.193495572,0.512783468,-0.056870326,0.291009367
ANN6748L1027,2011,0.193495572,0.512783468,-0.041219916,0.2508322
ANN6748L1027,2012,0.193495572,0.512783468,-0.244909614,0.257431179
ANN6748L1027,2013,0.193495572,0.512783468,0.036031686,0.265743375
ANN6748L1027,2014,0.193495572,0.512783468,0.355275452,0.276218802
ANN6748L1027,2015,0.193495572,0.512783468,0.387442589,0.238099813
ANN6748L1027,2016,0.193495572,0.512783468,0.066102229,0.23200731
AU00000088E2,2012,-1.686360598,2.027101278,0.400770992,0.681901097
AU00000088E2,2013,-1.686360598,2.027101278,0.314681441,0.633206844
AU00000088E2,2014,-1.686360598,2.027101278,1.04309082,0.665003181
AU00000088E2,2015,-1.686360598,2.027101278,-0.440112561,0.844153762
AU00000088E2,2016,-1.686360598,2.027101278,0.132598266,0.71097964
AU000000D132,2012,3.079346418,4.107751846,0.486917973,0.675514162
AU000000D132,2013,3.079346418,4.107751846,0.343851537,0.453030467
AU000000D132,2014,3.079346418,4.107751846,0.389679879,0.261056691
AU000000D132,2015,3.079346418,4.107751846,-0.173135415,0.37059921
AU000000D132,2016,3.079346418,4.107751846,0.426116079,0.768784583
AU000000M7T0,2010,2.645611763,1.778905511,0.226876885,0.141488031
AU000000M7T0,2011,2.645611763,1.778905511,-0.281487346,0.411894888
AU000000M7T0,2012,2.645611763,1.778905511,0.821734607,0.197170526
AU000000M7T0,2013,2.645611763,1.778905511,0.305232793,0.108326092
AU000000M7T0,2014,2.645611763,1.778905511,0.144220158,0.096183911
AU000000M7T0,2015,2.645611763,1.778905511,1.385359645,0.68451196
